[preflight] cleared 1 stale ninja build lock(s)
[preflight] GPU 0 idle, build locks clear -- ok to measure
[driver2] op=fused 48 jobs x 5 reps = 240 processes, shuffled with seed 20260728
[   1/240] rep4 torch/GBG[wcache=cached]                                   ok    1.3363 ms
[   2/240] rep2 cuda_noptx/GB[wcache=uncached]                             ok    3.4396 ms
[   3/240] rep3 tilelang/G[wcache=cached]                                  ok    1.4464 ms
[   4/240] rep1 cuda_unlimited/GBGS[wcache=uncached]                       ok    3.4294 ms
[   5/240] rep1 triton/G[wcache=uncached]                                  ok    3.2548 ms
[   6/240] rep2 cuda_unlimited/GBG[wcache=cached]                          ok    1.7316 ms
[   7/240] rep4 cuda_unlimited/GBGS[wcache=cached]                         ok    1.7521 ms
[   8/240] rep1 cuda_unlimited/GBG[wcache=cached]                          ok    1.7316 ms
[   9/240] rep3 triton/G[wcache=uncached]                                  ok    3.2366 ms
[  10/240] rep4 cuda_noptx/GBGS[wcache=cached]                             ok    1.9297 ms
[  11/240] rep1 cuda_unlimited/G[wcache=uncached]                          ok    3.3736 ms
[  12/240] rep1 triton/G[wcache=cached]                                    ok    1.6005 ms
[  13/240] rep1 tilelang/GB[wcache=uncached]                               ok    3.1160 ms
[  14/240] rep3 torch/G[wcache=uncached]                                   ok    2.6778 ms
[  15/240] rep3 torch/GB[wcache=uncached]                                  ok    6.6294 ms
[  16/240] rep3 torch/GBGS[wcache=cached]                                  ok    1.4961 ms
[  17/240] rep1 triton/GB[wcache=uncached]                                 ok    3.3260 ms
[  18/240] rep0 torch/GBG[wcache=uncached]                                 ok    6.6775 ms
[  19/240] rep3 torch/G[wcache=uncached]                                   ok    6.6596 ms
[  20/240] rep3 torch/GBG[wcache=cached]                                   ok    5.4349 ms
[  21/240] rep4 torch/G[wcache=cached]                                     ok    1.4397 ms
[  22/240] rep2 tilelang/GBGS[wcache=cached]                               ok    1.6026 ms
[  23/240] rep4 cuda_noptx/GBGS[wcache=uncached]                           ok    3.5803 ms
[  24/240] rep4 triton/G[wcache=uncached]                                  ok    3.2513 ms
[  25/240] rep4 tilelang/GBG[wcache=cached]                                ok    1.5165 ms
[  26/240] rep0 torch/GB[wcache=uncached]                                  ok    6.5751 ms
[  27/240] rep2 torch/GBG[wcache=cached]                                   ok    1.4275 ms
[  28/240] rep3 tilelang/GB[wcache=uncached]                               ok    3.1795 ms
[  29/240] rep3 tilelang/G[wcache=uncached]                                ok    3.1775 ms
[  30/240] rep1 torch/GB[wcache=cached]                                    ok    1.4285 ms
[  31/240] rep1 torch/GB[wcache=uncached]                                  ok    6.6442 ms
[  32/240] rep2 triton/GBGS[wcache=uncached]                               ok    3.4857 ms
[  33/240] rep1 tilelang/GB[wcache=cached]                                 ok    1.5278 ms
[  34/240] rep3 torch/G[wcache=cached]                                     ok    1.4141 ms
[  35/240] rep0 torch/G[wcache=cached]                                     ok    5.3745 ms
