=== waiting for sdpa_cross (pid 475449) ===
=== repairing 2 records damaged by a mid-campaign edit ===
removed 'results/sdpa_cross/raw/tilelang__FLASH__x_d256_x_pdtypefp16_x_sdtypefp16__rand__rep2.json'
removed 'results/sdpa_cross/raw/cuda_unlimited__FLASH__x_d1024_x_pdtypefp16_x_sdtypefp16__rand__rep1.json'
[preflight] GPU 0 idle, build locks clear -- ok to measure
[driver2] op=sdpa 81 jobs x 5 reps = 405 processes, shuffled with seed 20260728
[   1/405] rep1 tilelang/K3[d=256,pdtype=fp32,sdtype=fp32]                 ok   13.8066 ms
[   2/405] rep3 cuda_noptx/K3[d=256,pdtype=fp16,sdtype=fp32]               ok    8.7347 ms
[   3/405] rep1 cuda_noptx/FLASH[d=1024,pdtype=fp16,sdtype=fp32]           ok   32.7798 ms
[   4/405] rep2 tilelang/K3[d=256,pdtype=fp32,sdtype=fp32]                 ok   14.2659 ms
[   5/405] rep1 triton/K3[d=128,pdtype=fp32,sdtype=fp32]                   ok   14.7850 ms
[   6/405] rep2 triton/FLASH[d=256,pdtype=fp32,sdtype=fp32]                ok   41.8765 ms
[   7/405] rep1 cuda_unlimited/K3[d=128,pdtype=fp16,sdtype=fp32]           ok    5.1927 ms
[   8/405] rep1 triton/FLASH[d=128,pdtype=fp16,sdtype=fp32]                ok    2.4366 ms
[   9/405] rep1 cuda_unlimited/FLASH[d=1024,pdtype=fp32,sdtype=fp32]       ok   54.4579 ms
[  10/405] rep3 cuda_unlimited/FLASH[d=256,pdtype=fp16,sdtype=fp16]        ok    5.6453 ms
[  11/405] rep2 cuda_unlimited/FLASH[d=256,pdtype=fp32,sdtype=fp32]        ok   10.2400 ms
[  12/405] rep0 triton/FLASH[d=128,pdtype=fp32,sdtype=fp32]                ok    4.2849 ms
[  13/405] rep4 cuda_noptx/K3[d=1024,pdtype=fp16,sdtype=fp32]              ok   29.8511 ms
[  14/405] rep3 triton/FLASH[d=256,pdtype=fp16,sdtype=fp32]                ok    7.3948 ms
[  15/405] rep4 cuda_unlimited/K3[d=128,pdtype=fp32,sdtype=fp32]           ok    8.3190 ms
[  16/405] rep4 triton/K3[d=128,pdtype=fp32,sdtype=fp32]                   ok   15.3023 ms
[  17/405] rep4 cuda_noptx/K3[d=128,pdtype=fp16,sdtype=fp16]               ok    5.5112 ms
[  18/405] rep0 cuda_noptx/K3[d=256,pdtype=fp16,sdtype=fp16]               ok    9.3568 ms
[  19/405] rep3 tilelang/FLASH[d=128,pdtype=fp16,sdtype=fp16]              ok    3.0541 ms
[  20/405] rep4 cuda_unlimited/FLASH[d=128,pdtype=fp32,sdtype=fp32]        ok    5.0749 ms
[  21/405] rep2 cuda_noptx/K3[d=1024,pdtype=fp16,sdtype=fp32]              ok   30.4461 ms
[  22/405] rep1 cuda_noptx/K3[d=1024,pdtype=fp16,sdtype=fp16]              ok   29.5470 ms
[  23/405] rep1 triton/K3[d=1024,pdtype=fp16,sdtype=fp32]                  ok   18.7448 ms
[  24/405] rep3 cuda_unlimited/K3[d=256,pdtype=fp16,sdtype=fp32]           ok    7.6334 ms
[  25/405] rep3 torch/TORCH_MATH[d=1024,pdtype=fp32,sdtype=fp32]           ok   71.9396 ms
[  26/405] rep4 cuda_noptx/K3[d=1024,pdtype=fp32,sdtype=fp32]              ok   51.2404 ms
[  27/405] rep0 torch/TORCH_F32[d=256,pdtype=fp32,sdtype=fp32]             ok   15.4742 ms
[  28/405] rep2 tilelang/K3[d=256,pdtype=fp16,sdtype=fp16]                 ok    7.8556 ms
[  29/405] rep2 cuda_unlimited/K3[d=1024,pdtype=fp16,sdtype=fp16]          ok   20.1774 ms
[  30/405] rep4 triton/FLASH[d=1024,pdtype=fp16,sdtype=fp32]               ok   49.7065 ms
[  31/405] rep3 cuda_unlimited/FLASH[d=128,pdtype=fp32,sdtype=fp32]        ok    5.1231 ms
[  32/405] rep1 cuda_unlimited/K3[d=256,pdtype=fp16,sdtype=fp16]           ok    6.6806 ms
[  33/405] rep3 tilelang/K3[d=1024,pdtype=fp16,sdtype=fp32]                ok   26.2574 ms
[  34/405] rep0 triton/FLASH[d=256,pdtype=fp32,sdtype=fp32]                ok   43.2963 ms
[  35/405] rep0 cuda_unlimited/K3[d=256,pdtype=fp32,sdtype=fp32]           ok   12.8251 ms
[  36/405] rep2 torch/TORCH_MATH[d=128,pdtype=fp32,sdtype=fp32]            ok   14.4148 ms
[  37/405] rep4 triton/FLASH[d=256,pdtype=fp16,sdtype=fp32]                ok    7.4767 ms
[  38/405] rep1 tilelang/FLASH[d=128,pdtype=fp32,sdtype=fp32]              ok    5.2685 ms
[  39/405] rep4 tilelang/FLASH[d=128,pdtype=fp32,sdtype=fp32]              ok    5.2590 ms
[  40/405] rep3 cuda_noptx/K3[d=128,pdtype=fp16,sdtype=fp32]               ok    6.1317 ms
[  41/405] rep4 tilelang/FLASH[d=256,pdtype=fp16,sdtype=fp16]              ok    6.0288 ms
[  42/405] rep4 cuda_unlimited/K3[d=1024,pdtype=fp16,sdtype=fp32]          ok   21.3340 ms
[  43/405] rep4 cuda_unlimited/FLASH[d=256,pdtype=fp16,sdtype=fp32]        ok    5.7559 ms
[  44/405] rep2 triton/K3[d=1024,pdtype=fp16,sdtype=fp32]                  ok   18.9844 ms
[  45/405] rep3 tilelang/FLASH[d=128,pdtype=fp16,sdtype=fp32]              ok    2.9989 ms
[  46/405] rep4 cuda_noptx/FLASH[d=128,pdtype=fp32,sdtype=fp32]            ok    5.8117 ms
[  47/405] rep4 triton/FLASH[d=256,pdtype=fp32,sdtype=fp32]                ok   43.6419 ms
[  48/405] rep4 triton/FLASH[d=128,pdtype=fp16,sdtype=fp32]                ok    2.5498 ms
[  49/405] rep2 tilelang/FLASH[d=1024,pdtype=fp16,sdtype=fp16]             ok   25.8944 ms
[  50/405] rep3 cuda_unlimited/FLASH[d=128,pdtype=fp16,sdtype=fp16]        ok    2.7771 ms
[  51/405] rep0 cuda_unlimited/K3[d=1024,pdtype=fp16,sdtype=fp32]          ok   21.3499 ms
[  52/405] rep0 cuda_noptx/K3[d=128,pdtype=fp16,sdtype=fp16]               ok    5.5091 ms
[  53/405] rep3 cuda_noptx/FLASH[d=256,pdtype=fp32,sdtype=fp32]            ok   10.7069 ms
[  54/405] rep3 cuda_unlimited/FLASH[d=1024,pdtype=fp32,sdtype=fp32]       ok   55.4808 ms
[  55/405] rep1 triton/FLASH[d=128,pdtype=fp32,sdtype=fp32]                ok    4.2875 ms
[  56/405] rep4 triton/FLASH[d=1024,pdtype=fp32,sdtype=fp32]               ok   65.6244 ms
[  57/405] rep3 triton/K3[d=256,pdtype=fp16,sdtype=fp32]                   ok    6.5915 ms
[  58/405] rep0 cuda_noptx/K3[d=1024,pdtype=fp16,sdtype=fp32]              ok   30.4399 ms
[  59/405] rep2 torch/TORCH_F32[d=1024,pdtype=fp32,sdtype=fp32]            ok   60.7114 ms
[  60/405] rep2 torch/TORCH_F32[d=128,pdtype=fp32,sdtype=fp32]             ok    6.3908 ms
[  61/405] rep1 torch/TORCH_F16[d=128,pdtype=fp32,sdtype=fp32]             ok    2.7894 ms
[  62/405] rep2 cuda_unlimited/FLASH[d=1024,pdtype=fp32,sdtype=fp32]       ok   55.8577 ms
[  63/405] rep4 triton/FLASH[d=128,pdtype=fp16,sdtype=fp16]                ok    2.5405 ms
[  64/405] rep1 tilelang/K3[d=128,pdtype=fp16,sdtype=fp32]                 ok    5.5977 ms
[  65/405] rep4 torch/TORCH_F32[d=1024,pdtype=fp32,sdtype=fp32]            ok   60.6182 ms
[  66/405] rep4 cuda_noptx/FLASH[d=1024,pdtype=fp16,sdtype=fp16]           ok   34.9138 ms
[  67/405] rep4 triton/K3[d=128,pdtype=fp16,sdtype=fp32]                   ok    5.2521 ms
[  68/405] rep1 cuda_unlimited/FLASH[d=256,pdtype=fp32,sdtype=fp32]        ok   10.2431 ms
[  69/405] rep1 cuda_noptx/FLASH[d=128,pdtype=fp16,sdtype=fp16]            ok    3.8113 ms
[  70/405] rep0 tilelang/K3[d=128,pdtype=fp32,sdtype=fp32]                 ok    9.5304 ms
[  71/405] rep4 cuda_noptx/K3[d=256,pdtype=fp16,sdtype=fp16]               ok    9.0516 ms
[  72/405] rep2 triton/FLASH[d=128,pdtype=fp32,sdtype=fp32]                ok    4.2312 ms
[  73/405] rep4 cuda_noptx/FLASH[d=128,pdtype=fp16,sdtype=fp32]            ok    3.7862 ms
[  74/405] rep3 cuda_unlimited/K3[d=256,pdtype=fp32,sdtype=fp32]           ok   12.8906 ms
[  75/405] rep3 cuda_noptx/FLASH[d=128,pdtype=fp16,sdtype=fp16]            ok    3.7893 ms
[  76/405] rep3 tilelang/K3[d=128,pdtype=fp32,sdtype=fp32]                 ok    9.5196 ms
[  77/405] rep2 cuda_noptx/K3[d=256,pdtype=fp16,sdtype=fp16]               ok    8.9682 ms
[  78/405] rep0 cuda_unlimited/K3[d=128,pdtype=fp32,sdtype=fp32]           ok    8.3850 ms
[  79/405] rep1 cuda_unlimited/FLASH[d=128,pdtype=fp16,sdtype=fp16]        ok    2.7807 ms
[  80/405] rep4 cuda_noptx/FLASH[d=256,pdtype=fp16,sdtype=fp32]            ok    7.1547 ms
[  81/405] rep4 cuda_noptx/FLASH[d=256,pdtype=fp32,sdtype=fp32]            ok   10.6107 ms
[  82/405] rep3 cuda_noptx/K3[d=128,pdtype=fp16,sdtype=fp16]               ok    5.4129 ms
