==WARNING== Note: Running with uncontrolled GPU caches. Profiling results may be inconsistent.
==PROF== Connected to process 135299 (/home/lxt230026/miniconda3/bin/python3.13)
==PROF== Disconnected from process 135299
==PROF== Connected to process 135494 (/home/lxt230026/miniconda3/bin/python3.13)
==PROF== Disconnected from process 135494
==PROF== Connected to process 135688 (/home/lxt230026/miniconda3/bin/python3.13)
==PROF== Disconnected from process 135688
==PROF== Creating report from application replay data: 0%.....................100%
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","135299","python3.13","127.0.0.1","ln_reduce_row(const float *, float *, float *, long, long, int)","1","7","(256, 1, 1)","(512, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","byte","16,784,128"
"0","135299","python3.13","127.0.0.1","ln_reduce_row(const float *, float *, float *, long, long, int)","1","7","(256, 1, 1)","(512, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_write.sum","byte","8,689,536"
"0","135299","python3.13","127.0.0.1","ln_reduce_row(const float *, float *, float *, long, long, int)","1","7","(256, 1, 1)","(512, 1, 1)","0","8.9","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","84.91"
"0","135299","python3.13","127.0.0.1","ln_reduce_row(const float *, float *, float *, long, long, int)","1","7","(256, 1, 1)","(512, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ns","32,960"
"0","135299","python3.13","127.0.0.1","ln_reduce_row(const float *, float *, float *, long, long, int)","1","7","(256, 1, 1)","(512, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","1.32"
"1","135299","python3.13","127.0.0.1","ln_apply_row(const float *, const float *, const float *, float *, const float *, const float *, long, long, int, float)","1","7","(256, 1, 1)","(512, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","byte","35,003,392"
"1","135299","python3.13","127.0.0.1","ln_apply_row(const float *, const float *, const float *, float *, const float *, const float *, long, long, int, float)","1","7","(256, 1, 1)","(512, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_write.sum","byte","16,673,920"
"1","135299","python3.13","127.0.0.1","ln_apply_row(const float *, const float *, const float *, float *, const float *, const float *, long, long, int, float)","1","7","(256, 1, 1)","(512, 1, 1)","0","8.9","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","84.78"
"1","135299","python3.13","127.0.0.1","ln_apply_row(const float *, const float *, const float *, float *, const float *, const float *, long, long, int, float)","1","7","(256, 1, 1)","(512, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ns","66,976"
"1","135299","python3.13","127.0.0.1","ln_apply_row(const float *, const float *, const float *, float *, const float *, const float *, long, long, int, float)","1","7","(256, 1, 1)","(512, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","48.48"
"2","135299","python3.13","127.0.0.1","ln_reduce_row(const float *, float *, float *, long, long, int)","1","7","(256, 1, 1)","(512, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","byte","16,777,856"
"2","135299","python3.13","127.0.0.1","ln_reduce_row(const float *, float *, float *, long, long, int)","1","7","(256, 1, 1)","(512, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_write.sum","byte","7,512,320"
"2","135299","python3.13","127.0.0.1","ln_reduce_row(const float *, float *, float *, long, long, int)","1","7","(256, 1, 1)","(512, 1, 1)","0","8.9","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","82.75"
"2","135299","python3.13","127.0.0.1","ln_reduce_row(const float *, float *, float *, long, long, int)","1","7","(256, 1, 1)","(512, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ns","32,288"
"2","135299","python3.13","127.0.0.1","ln_reduce_row(const float *, float *, float *, long, long, int)","1","7","(256, 1, 1)","(512, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","1.02"
"3","135299","python3.13","127.0.0.1","ln_apply_row(const float *, const float *, const float *, float *, const float *, const float *, long, long, int, float)","1","7","(256, 1, 1)","(512, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","byte","14,006,400"
"3","135299","python3.13","127.0.0.1","ln_apply_row(const float *, const float *, const float *, float *, const float *, const float *, long, long, int, float)","1","7","(256, 1, 1)","(512, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_write.sum","byte","13,555,200"
"3","135299","python3.13","127.0.0.1","ln_apply_row(const float *, const float *, const float *, float *, const float *, const float *, long, long, int, float)","1","7","(256, 1, 1)","(512, 1, 1)","0","8.9","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","77.27"
"3","135299","python3.13","127.0.0.1","ln_apply_row(const float *, const float *, const float *, float *, const float *, const float *, long, long, int, float)","1","7","(256, 1, 1)","(512, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ns","39,200"
"3","135299","python3.13","127.0.0.1","ln_apply_row(const float *, const float *, const float *, float *, const float *, const float *, long, long, int, float)","1","7","(256, 1, 1)","(512, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","79.36"
"4","135299","python3.13","127.0.0.1","ln_reduce_row(const float *, float *, float *, long, long, int)","1","7","(256, 1, 1)","(512, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","byte","16,778,752"
"4","135299","python3.13","127.0.0.1","ln_reduce_row(const float *, float *, float *, long, long, int)","1","7","(256, 1, 1)","(512, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_write.sum","byte","7,031,808"
"4","135299","python3.13","127.0.0.1","ln_reduce_row(const float *, float *, float *, long, long, int)","1","7","(256, 1, 1)","(512, 1, 1)","0","8.9","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","81.42"
"4","135299","python3.13","127.0.0.1","ln_reduce_row(const float *, float *, float *, long, long, int)","1","7","(256, 1, 1)","(512, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ns","32,160"
"4","135299","python3.13","127.0.0.1","ln_reduce_row(const float *, float *, float *, long, long, int)","1","7","(256, 1, 1)","(512, 1, 1)","0","8.9","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","1.05"
"5","135299","python3.13","127.0.0.1","ln_apply_row(const float *, const float *, const float *, float *, const float *, const float *, long, long, int, float)","1","7","(256, 1, 1)","(512, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","byte","8,253,440"
"5","135299","python3.13","127.0.0.1","ln_apply_row(const float *, const float *, const float *, float *, const float *, const float *, long, long, int, float)","1","7","(256, 1, 1)","(512, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_write.sum","byte","11,521,408"
